obs_id,species_id,location_id,time_id,edible,observation_count,media_count
14877924,9,545,345,,1,1
14878607,6,546,346,,1,1
14879302,36,547,124,,1,1
14879441,38,548,124,,1,1
14884352,39,549,347,,1,1
14885455,9,550,348,,1,1
14890732,9,551,53,,1,1
14896774,18,552,349,,1,1
14916907,34,553,60,0.0,1,1
14920890,30,554,350,,1,1
14939324,18,555,263,,1,1
14948485,37,556,351,,1,1
14987282,55,557,155,,1,1
14987283,18,558,155,,1,1
14987284,4,559,155,,1,1
14987288,9,560,155,,1,1
14995832,9,561,352,,1,1
15050090,14,562,252,,1,1
15052144,4,563,353,,1,1
15071516,3,564,354,,1,1
15170164,78,565,355,,1,1
15174263,9,566,355,,1,1
15194339,3,567,113,,1,1
15229027,36,568,356,,1,1
15229869,79,569,357,1.0,1,1
15230035,36,570,358,,1,1
15230038,1,571,359,,1,1
15230052,60,572,359,,1,1
15230058,4,572,359,,1,1
15230067,4,573,359,,1,1
15230081,11,571,360,1.0,1,1
15230095,9,574,361,,1,1
15230180,18,575,362,,1,1
15230828,9,571,363,,1,1
15230836,9,571,363,,1,1
15230865,18,571,363,,1,1
15230870,2,571,363,,1,1
15230889,18,571,363,,1,1
15230900,9,571,363,,1,1
15233428,64,576,254,,1,1
15233469,79,577,257,1.0,1,1
15233473,12,578,257,,1,1
15233588,11,579,364,1.0,1,1
15233726,3,580,365,,1,1
15244330,5,581,204,,1,1
15257556,9,582,366,,1,1
15263624,9,583,366,,1,1
15287186,36,584,367,,1,1
15325436,79,585,368,1.0,1,1
15340657,75,586,142,,1,1
15425059,6,587,369,,1,1
15442483,18,588,370,,1,1
15447170,1,589,371,,1,1
15497540,40,590,372,1.0,1,1
15505802,38,591,373,,1,1
15508335,7,592,374,,1,1
15509613,29,593,375,,1,1
15600910,75,594,376,,1,0
15601520,75,595,376,,1,0
15601617,75,596,377,,1,0
15602954,75,597,378,,1,0
15606468,75,598,379,,1,0
15606715,75,599,380,,1,0
15614233,79,600,381,1.0,1,1
15728345,4,601,382,,1,1
15728366,18,602,382,,1,1
15736137,39,603,381,,1,1
15753863,18,604,381,,1,1
15827283,36,605,372,,1,1
15871180,18,606,383,,1,1
15903277,9,607,384,,1,1
15903800,30,608,385,,1,1
15903813,30,609,385,,1,1
15904111,30,610,385,,1,1
15941284,29,611,385,,1,1
15969184,36,612,386,,1,1
15974232,30,613,386,,1,1
15974815,36,614,387,,1,1
15975406,36,615,388,,1,1
15983836,57,616,389,,1,1
16128651,39,617,390,,1,1
16206583,18,618,390,,1,1
16208942,30,619,391,,1,1
16224781,36,620,260,,1,1
16224871,63,621,391,,1,1
16226935,18,622,392,,1,1
16268843,57,623,393,,1,1
16279988,9,624,394,,1,1
16280861,4,625,392,,1,1
16316270,4,626,395,,1,1
16316300,11,627,395,1.0,1,1
16316334,9,628,395,,1,1
16323777,9,629,395,,1,1
16330256,30,630,392,,1,1
16379601,3,631,396,,1,1
16384707,36,632,391,,1,1
16392667,36,633,397,,1,1
16402620,20,634,398,,1,1
16419394,75,635,398,,1,1
16449356,30,636,399,,1,1
16480968,30,637,400,,1,1
16558980,9,638,401,,1,1
16582679,9,639,402,,1,1
16594152,11,640,402,1.0,1,1
16640738,36,641,403,,1,1
16681692,38,642,404,,1,1
16712103,39,643,405,,1,1
16720358,36,644,406,,1,1
16834549,38,645,68,,1,1
16868221,2,646,407,,1,1
16876858,9,647,408,,1,1
16915801,76,648,249,,1,1
16943372,36,649,44,,1,1
16980119,80,650,409,,1,1
17001200,12,651,410,,1,1
17021962,18,652,411,,1,1
17023455,9,653,411,,1,1
17040533,30,654,412,,1,1
17041646,30,655,413,,1,1
17066920,63,656,414,,1,1
17069754,11,657,414,1.0,1,1
17080194,39,658,415,,1,1
17111933,1,659,252,,1,1
17121289,39,660,416,,1,1
17157985,1,661,417,,1,1
17167514,9,662,418,,1,1
17185620,29,663,419,,1,1
17187649,9,664,420,,1,1
17188314,9,665,421,,1,1
17201968,7,666,420,,1,1
17275740,1,667,422,,1,1
17275742,1,668,422,,1,1
17275748,1,669,422,,1,1
17276234,1,670,422,,1,1
17325183,39,671,411,,1,1
17374449,79,672,423,1.0,1,1
17392450,36,673,44,,1,1
17431865,11,674,424,1.0,1,1
17462037,4,675,425,,1,1
17462088,9,676,425,,1,1
17471935,6,677,426,,1,1
